SHA256,Type,threat_label,creation_date,size,tags_vt,meaningful_name,malicious_ratio,sandbox_malicious_count,sandbox_confidence_avg,sandbox_classifications,is_signed,signature_entity,pe_compile_date,pe_entropy_avg,pulse_names,pulse_count,adversaries,attack_ids,verdict,multiscan_result
625d65e2f28c0eb382f79567e2688de8188fa6606f6add912c74305c6f560718,1,trojan.vebzenpak/ponystealer,1471958982,77824,"['runtime-modules', 'checks-user-input', 'direct-cpu-clock-access', 'peexe']",bevillegiti.exe,0.7662337662337663,1,,"['TROJAN', 'MALWARE']",True,Desconocido,1471958982,3.41,{'Malware Bazar 11'},2,[],[],malicious,88
caceb4c568320158ccb095b50a3434f71ac58bd6c16542edcd34a99593c59ad4,1,trojan.midie/qbot,708992537,743424,"['runtime-modules', 'bobsoft', 'spreader', 'peexe']",rwtdbfa,0.7631578947368421,2,75.0,"['TROJAN', 'STEALER', 'MALWARE', 'EVADER']",False,,708992537,3.74,{'Malware Hashes'},2,[],[],malicious,20
d286b900dbbf17ca3192f5ce0e1a060e84bf447e04a87aaa249835580f0b36f6,1,trojan.loki/vebzenpak,1217510091,114688,"['runtime-modules', 'spreader', 'peexe', 'direct-cpu-clock-access', 'checks-user-input']",FORFATN.exe,0.8051948051948052,1,,"['BANKER', 'TROJAN', 'MALWARE']",True,Desconocido,1217510091,3.81,{'Malware Bazar 11'},2,[],[],suspicious,2
76c8c59633cfff53d9b7668493f96ee7c54c540c4ab5cb50e6b90dd3a2fd9bcd,1,trojan.loki/agensla,1204714085,102400,"['checks-user-input', 'runtime-modules', 'spreader', 'peexe', 'direct-cpu-clock-access']",Kitinska.exe,0.8157894736842105,2,,['MALWARE'],True,Desconocido,1204714085,2.27,set(),0,[],[],malicious,88
ce895c525a99922beedf02ca7742c49f320448522185bec8f7d2a49d6cee9f24,1,trojan.remcos/ponystealer,1235959702,69632,"['spreader', 'peexe', 'runtime-modules', 'checks-user-input', 'direct-cpu-clock-access']",lp.exe,0.7532467532467533,2,,"['TROJAN', 'MALWARE']",True,Desconocido,1235959702,2.19,set(),0,[],[],malicious,81
a319ca95679f9e8a30001a66ec55403a08be8c7398916746baea02c6c6539d02,1,trojan.shelsy/nsis,1632607066,96864,"['overlay', 'invalid-signature', 'checks-disk-space', 'detect-debug-environment', 'long-sleeps', 'direct-cpu-clock-access', 'malware', 'signed', 'peexe', 'spreader', 'runtime-modules', 'calls-wmi', 'checks-cpu-name']",install4.exe,0.7368421052631579,2,72.0,"['TROJAN', 'STEALER', 'MALWARE', 'EVADER']",True,Desconocido,1632607066,3.93,"{'Malware Bazaar 4', 'Various Malware Families Hashes'}",4,[],[],malicious,72
5b43f1b798bbd5b0769f7bfa3ee07836a841c9901c93b67f029ff3d6c5d54d27,1,trojan.guloader/nsis,1632607066,333444,"['direct-cpu-clock-access', 'peexe', 'long-sleeps', 'runtime-modules', 'overlay']",5b43f1.exe,0.7631578947368421,2,80.0,['MALWARE'],True,Desconocido,1632607066,3.92,{'Malware Hashes'},1,[],[],malicious,31
201f2b8cd0d15399da2d0b98ff9b7d50d515deeea3f9435062b4b0a4548b0082,1,,1603711042,218112,"['peexe', 'self-delete', 'checks-disk-space', 'detect-debug-environment', 'long-sleeps', 'direct-cpu-clock-access', 'spreader']",jbivjta,0.7631578947368421,5,75.0,"['TROJAN', 'MALWARE', 'EVADER']",False,,1603711042,4.85,"{'Various Malware Families Hashes', 'Malwarebazaar 5'}",4,[],[],malicious,79
12899bd196fe5a62d8a4b9c989f5c8c3e94c9c343ff3a0e800f70b4890266eed,1,trojan.femato/stop,1624750553,276480,"['executes-dropped-file', 'self-delete', 'spreader', 'peexe', 'direct-cpu-clock-access']",ransomware_stop_2021_1160.exe,0.8,4,75.0,"['TROJAN', 'MALWARE', 'EVADER', 'RANSOM']",False,,1624750553,2.28,{'Malware Hashes'},1,[],[],malicious,60
4fb3528f5fc1a30b03cf69920e1db68cd4943c1c303a09cac0723a10abfcc378,1,trojan.remcos/ponystealer,1329265055,98304,"['checks-user-input', 'peexe', 'direct-cpu-clock-access', 'runtime-modules', 'spreader']",Treskiftsarbejders.exe,0.7402597402597403,4,,"['TROJAN', 'MALWARE']",True,Desconocido,1329265055,2.18,set(),0,[],[],malicious,82
ab41887e471ac822f1240bf554098fa042910f1c7ac2f9e390081829515bc2fa,1,trojan.guloader/dangeroussig,1429521141,152720,"['direct-cpu-clock-access', 'spreader', 'runtime-modules', 'checks-user-input', 'peexe', 'invalid-signature', 'signed', 'overlay']",filterhjdens.exe,0.8026315789473685,1,80.0,['MALWARE'],True,Desconocido,1429521141,2.43,"{'Malware Bazaar 4', 'Various Malware Families Hashes'}",4,[],[],malicious,21
90c0cf976bc9377697fb31e8ca6f21aee0168cc5471a8ac33ece631ee346afa9,1,trojan.mokes/azorult,1584937564,337920,"['self-delete', 'peexe', 'executes-dropped-file', 'spreader', 'malware']",udbejrr,0.7894736842105263,3,50.0,"['TROJAN', 'MALWARE']",False,,1584937564,4.45,"{'Various Malware Families Hashes', 'Malwarebazaar 5'}",4,[],[],malicious,73
