SHA256,Type,threat_label,creation_date,size,tags_vt,meaningful_name,malicious_ratio,sandbox_malicious_count,sandbox_confidence_avg,sandbox_classifications,is_signed,signature_entity,pe_compile_date,pe_entropy_avg,pulse_names,pulse_count,adversaries,attack_ids,verdict,multiscan_result
749d8579161376f6c9404d0bb85084c8835cb047388cb0004175b05642a4feaa,3,trojan.autoit/krap,1502325130,1038577,"['peexe', 'executes-dropped-file', 'overlay', 'runtime-modules', 'detect-debug-environment', 'direct-cpu-clock-access']",dttcodexgigas.79e2b96ce42e3c65fd425930bd1a6f01070cdcda,0.6753246753246753,3,80.0,"['RAT', 'MALWARE']",False,,1502325130,4.03,set(),0,[],[],malicious,70.0
74eecf26b43af06c136376e6c48f3c7b7e6ecdf5b818eeed12c504284155596c,3,trojan.avemaria/midie,1607554063,1446912,"['direct-cpu-clock-access', 'executes-dropped-file', 'spreader', 'peexe', 'checks-network-adapters', 'runtime-modules', 'long-sleeps']",content.30307.5711.15445.3118.17436,0.7435897435897436,2,,"['MALWARE', 'TROJAN']",False,,1607554063,3.32,{'Malware Bazaar 7'},2,[],[],malicious,48.0
7d4e074bb90d588c9e8fb2d5171fe708ca305eefe775df59710b8b2db7022345,3,trojan.bladabindi,1623403014,19896303,"['spreader', 'calls-wmi', 'checks-user-input', 'runtime-modules', 'persistence', 'detect-debug-environment', 'peexe', 'direct-cpu-clock-access', 'long-sleeps', 'overlay', 'malware']",unknown,0.6842105263157895,3,88.0,"['MALWARE', 'TROJAN', 'EVADER', 'ADWARE']",False,,1623403014,5.11,"{'Index of /daily/2022-01-01 - Malshare', 'Malware Hashes'}",3,[],[],malicious,59.0
07057eed417e36704e867cfc494c13f0e8a486624798731aebb2444e6590c4eb,3,trojan.avemaria/processhijack,1559137742,3015497,"['checks-user-input', 'direct-cpu-clock-access', 'overlay', 'long-sleeps', 'spreader', 'runtime-modules', 'peexe']",FlowerPower.EXE,0.8701298701298701,2,50.0,['MALWARE'],True,Desconocido,1559137742,3.77,set(),0,[],[],malicious,92.0
1877223c7b74e98fbde48581eb2f8dcc7d7a6b0c056f74e05f4dea19c9a106d2,3,trojan.msil/seraph,3642683744,1086464,"['spreader', 'runtime-modules', 'long-sleeps', 'direct-cpu-clock-access', 'assembly', 'detect-debug-environment', 'peexe']",Kcqls.exe,0.7894736842105263,1,,['MALWARE'],True,Desconocido,3642683744,4.4,{'MalwareBazaarHash-20220225-0826'},1,[],[],malicious,90.0
4d30e3993847186aa21dc38fa18ea8eca3e55bbaa8cf1537a23e348505a8ecd8,3,trojan.bladabindi/msil,1604325690,44032,"['runtime-modules', 'direct-cpu-clock-access', 'assembly', 'detect-debug-environment', 'persistence', 'peexe']",9f50a79f14694ba8f4494c89e789de36.virus,0.7894736842105263,2,70.0,"['RAT', 'MALWARE']",False,,1604325690,3.09,set(),0,[],[],malicious,93.0
7dfeb33bc214b5db2d6e970029afdb9c2f099e5212a33f0b2f04a506c05798f6,3,trojan.avemaria/inject3,1559137742,3015389,"['spreader', 'long-sleeps', 'peexe', 'runtime-modules', 'checks-user-input', 'overlay', 'direct-cpu-clock-access']",FlowerPower.EXE,0.8701298701298701,3,50.0,['MALWARE'],True,Desconocido,1559137742,3.77,set(),0,[],[],malicious,93.0
5730cdbd8b40bd9dbfc8e26d55434446b4793888e09822c457db6976d10ded52,3,trojan.msil/bladabindi,1597095404,32768,"['peexe', 'detect-debug-environment', 'runtime-modules', 'direct-cpu-clock-access', 'assembly']",Client.exe,0.8026315789473685,0,,[],True,Desconocido,1597095404,1.99,set(),0,[],[],malicious,89.0
91d062fc6fde3f8556d176477609cc5760f50b97cedb7d913d2e0fdde4394982,3,trojan.msil/bladabindi,1585715018,32768,"['runtime-modules', 'assembly', 'peexe', 'direct-cpu-clock-access', 'detect-debug-environment']",client.exe,0.7894736842105263,1,,['MALWARE'],True,Desconocido,1585715018,2.0,set(),0,[],[],malicious,83.0
421125a617b1aa0c7bb4df03f43abe2f9db7a56a397d9f4fe0ee0aff30e178c6,3,,1559137742,2806462,"['peexe', 'overlay', 'runtime-modules', 'long-sleeps', 'direct-cpu-clock-access', 'checks-user-input', 'spreader']",FlowerPower.EXE,0.7945205479452054,2,50.0,['MALWARE'],True,Desconocido,1559137742,3.54,set(),0,[],[],malicious,89.0
76389098be8a410aaf6b21297912f6ef745db6e8a2f2aaaddda8685bd91091c3,3,trojan.strictor/noon,708992537,679936,"['long-sleeps', 'persistence', 'calls-wmi', 'direct-cpu-clock-access', 'bobsoft', 'runtime-modules', 'peexe', 'checks-network-adapters', 'detect-debug-environment']",092e76ca81792d780c26c7842fd3fc33eb157df9.bin,0.7631578947368421,2,,"['MALWARE', 'TROJAN']",True,Desconocido,708992537,3.61,"{'Index of /daily/2022-01-27 - Malshare', 'Malware Hashes'}",4,[],[],malicious,77.0
463f07b2aa417a9388bbcb65fea2a17a4e3aea14f549c64ee214a208d88e4e37,3,trojan.apost/drop,975066657,3354112,"['detect-debug-environment', 'peexe', 'persistence', 'checks-disk-space', 'runtime-modules', 'checks-user-input', 'direct-cpu-clock-access']",WEXTRACT.EXE            .MUI,0.6233766233766234,1,,['MALWARE'],True,Desconocido,975066657,6.12,set(),0,[],[],malicious,53.0
97600cbe42f7a08b51c85fcf6084d682b526cd31e6ac041c7e94d92eb01cf96c,3,trojan.avemaria/processhijack,1559137742,3015317,"['peexe', 'direct-cpu-clock-access', 'runtime-modules', 'spreader', 'executes-dropped-file', 'overlay', 'checks-user-input', 'long-sleeps']",FlowerPower.EXE,0.881578947368421,3,50.0,"['MALWARE', 'TROJAN']",True,Desconocido,1559137742,3.77,set(),0,[],[],malicious,92.0
158e0da6a9c453016a247be4e653c84e61ae4db28f04dcc8ffa425a1fd7b950f,3,,1508969171,226428,"['peexe', 'assembly', 'self-delete', 'overlay', 'runtime-modules', 'detect-debug-environment', 'direct-cpu-clock-access', 'executes-dropped-file']",TypeScript Keyboard Sync.exe,0.8289473684210527,1,,['MALWARE'],True,Desconocido,1508969171,3.7,set(),0,[],[],malicious,87.0
13cad8715da2c690091d24ea3eed6b4ef38ccf1229f1014fdfb1902cccd41a5f,3,trojan.graftor/mocrt,708992537,1252885,"['long-sleeps', 'executes-dropped-file', 'overlay', 'runtime-modules', 'aspack', 'peexe', 'direct-cpu-clock-access', 'persistence']",unpack200.exe,0.8947368421052632,3,50.0,['MALWARE'],True,Desconocido,708992537,3.95,set(),0,[],[],malicious,90.0
9860d700d58cc414272a3b103b737e5092ddc5c1881417b1a64495d40a0e3e76,3,trojan.processhijack/avemaria,1559137742,3024618,"['runtime-modules', 'spreader', 'long-sleeps', 'peexe', 'executes-dropped-file', 'overlay', 'direct-cpu-clock-access', 'checks-user-input']",FlowerPower.EXE,0.868421052631579,3,50.0,['MALWARE'],True,Desconocido,1559137742,4.13,set(),0,[],[],malicious,92.0
03e41ac3ec2167a4312247c09c6adf574a6b9bcd461c6cc4621fc46d60d8a03f,3,trojan.poison/bladabindi,1559137742,3024535,"['spreader', 'peexe', 'runtime-modules', 'direct-cpu-clock-access', 'checks-user-input', 'overlay', 'long-sleeps']",FlowerPower.EXE,0.8701298701298701,2,50.0,['MALWARE'],True,Desconocido,1559137742,4.13,set(),0,[],[],malicious,92.0
4390e77a28de9b4c39a397a5db1aa6103cf577083d71bc8bdac84821444dccc7,3,trojan.zusy/scarsi,708992537,1930938,"['runtime-modules', 'peexe', 'spreader', 'long-sleeps', 'persistence', 'direct-cpu-clock-access', 'overlay', 'bobsoft', 'executes-dropped-file']",unpack200.exe,0.8205128205128205,3,50.0,['MALWARE'],True,Desconocido,708992537,2.63,set(),0,[],[],malicious,88.0
